"Neighborhood","Time_Col","gi_star","p_folded_sim"
"Arbutus Ridge",2010-05-01,-1.48484728708114,0.23
"Grandview-Woodland",2010-05-01,-0.359922732378345,0.435
"Kensington-Cedar Cottage",2010-05-01,-0.634607405690321,0.245
"Killarney",2010-05-01,0.453942730495398,0.345
"Kitsilano",2010-05-01,1.52245625004948,0.155
"Strathcona",2010-05-01,1.75655212111991,0.07
"Sunset",2010-05-01,-1.2350102534287,0.07
"West Point Grey",2010-05-01,-1.04744217881202,0.475
"Dunbar-Southlands",2010-05-01,-1.35336259886913,0.145
"Fairview",2010-05-01,2.17089869870746,0.115
"Mount Pleasant",2010-05-01,1.23131882412141,0.115
"Renfrew-Collingwood",2010-05-01,0.487423036099086,0.38
"West End",2010-05-01,3.63519484768527,0.025
"Downtown",2010-06-01,4.58873045072432,0.015
"Hastings-Sunrise",2010-06-01,-0.042188965815566,0.46
"Kerrisdale",2010-06-01,-1.5248021116891,0.06
"Marpole",2010-06-01,-1.00537101556718,0.135
"Oakridge",2010-06-01,-2.03600815296759,0.005
"Riley Park",2010-06-01,-1.36473571016356,0.2
"South Cambie",2010-06-01,-1.69812391113897,0.13
"Shaughnessy",2010-06-01,-1.48678524521884,0.175
"Victoria-Fraserview",2010-06-01,-0.66064087608529,0.465
"Arbutus Ridge",2010-06-01,-0.940776576375424,0.48
"Grandview-Woodland",2010-06-01,-0.298112322768646,0.345
"Kensington-Cedar Cottage",2010-06-01,-0.703587796830346,0.385
"Killarney",2010-06-01,-0.546617212226675,0.355
"Kitsilano",2010-06-01,1.99813506428676,0.12
"Strathcona",2010-06-01,2.02427434092425,0.075
"Sunset",2010-06-01,-1.22542809445752,0.115
"West Point Grey",2010-06-01,-0.223144368282409,0.22
"Dunbar-Southlands",2010-06-01,-0.528812311242874,0.375
"Fairview",2010-06-01,1.65482221453154,0.1
"Mount Pleasant",2010-06-01,0.938343223738059,0.24
"Renfrew-Collingwood",2010-06-01,-0.149805187320928,0.375
"West End",2010-06-01,3.67044002595427,0.02
"Downtown",2010-07-01,4.42768303165097,0.01
"Hastings-Sunrise",2010-07-01,0.0037726056169335,0.335
"Kerrisdale",2010-07-01,-1.69571871226409,0.015
"Marpole",2010-07-01,-1.07519260082598,0.05
"Oakridge",2010-07-01,-1.82920662962751,0.015
"Riley Park",2010-07-01,-0.909908225928672,0.385
"South Cambie",2010-07-01,-1.20499313696776,0.26
"Shaughnessy",2010-07-01,-1.46768478547628,0.08
"Victoria-Fraserview",2010-07-01,-0.466557355509518,0.425
"Arbutus Ridge",2010-07-01,-1.24753379842762,0.13
"Grandview-Woodland",2010-07-01,-0.243421228961488,0.315
"Kensington-Cedar Cottage",2010-07-01,-0.40653989408511,0.465
"Killarney",2010-07-01,-0.367744533242989,0.36
"Kitsilano",2010-07-01,1.5136146339101,0.11
"Strathcona",2010-07-01,2.03127865288877,0.04
"Sunset",2010-07-01,-1.0236380330539,0.15
"West Point Grey",2010-07-01,-0.625399938699861,0.485
"Dunbar-Southlands",2010-07-01,-1.091338509844,0.12
"Fairview",2010-07-01,1.77637262195155,0.105
"Mount Pleasant",2010-07-01,1.39234171635251,0.16
"Renfrew-Collingwood",2010-07-01,-0.0425987150682609,0.44
"West End",2010-07-01,3.18138442239385,0.015
"Downtown",2010-08-01,4.37312989370105,0.005
"Hastings-Sunrise",2010-08-01,-0.146916914291033,0.245
"Kerrisdale",2010-08-01,-1.79612954494549,0.015
"Marpole",2010-08-01,-1.13825404842095,0.085
"Oakridge",2010-08-01,-1.85645217264464,0.015
"Riley Park",2010-08-01,-0.956849798235345,0.41
"South Cambie",2010-08-01,-1.35945003648708,0.205
"Shaughnessy",2010-08-01,-1.29869870051088,0.235
"Victoria-Fraserview",2010-08-01,-0.352455423995039,0.36
"Arbutus Ridge",2010-08-01,-1.15895116862529,0.2
"Grandview-Woodland",2010-08-01,-0.469057218399413,0.46
"Kensington-Cedar Cottage",2010-08-01,-0.496496023105018,0.435
"Killarney",2010-08-01,-0.349860402179758,0.275
"Kitsilano",2010-08-01,1.91517039694095,0.105
"Strathcona",2010-08-01,1.58792307043631,0.035
"Sunset",2010-08-01,-0.959934741514485,0.175
"West Point Grey",2010-08-01,-0.450840518260795,0.405
"Dunbar-Southlands",2010-08-01,-1.02291574182019,0.36
"Fairview",2010-08-01,1.88876529015212,0.12
"Mount Pleasant",2010-08-01,1.02619846838386,0.125
"Renfrew-Collingwood",2010-08-01,-0.0609509379841051,0.465
"West End",2010-08-01,3.81843162222862,0.025
"Downtown",2010-09-01,4.09612681898967,0.06
"Hastings-Sunrise",2010-09-01,0.540035577589993,0.22
"Kerrisdale",2010-09-01,-2.16234236183378,0.005
"Marpole",2010-09-01,-1.13256623367198,0.205
"Oakridge",2010-09-01,-1.86081436636209,0.025
"Riley Park",2010-09-01,-0.530910313566586,0.46
"South Cambie",2010-09-01,-1.33823096206886,0.32
"Shaughnessy",2010-09-01,-2.14992394305677,0.025
"Victoria-Fraserview",2010-09-01,0.0726746841206163,0.25
"Arbutus Ridge",2010-09-01,-1.91338816786311,0.015
"Grandview-Woodland",2010-09-01,0.372457756118161,0.305
"Kensington-Cedar Cottage",2010-09-01,0.545671476355563,0.355
"Killarney",2010-09-01,-0.0930959731019358,0.22
"Kitsilano",2010-09-01,0.783277717709257,0.245
"Strathcona",2010-09-01,2.05334197825558,0.02
"Sunset",2010-09-01,-0.573837779678209,0.365
"West Point Grey",2010-09-01,-1.21811491565772,0.3
"Dunbar-Southlands",2010-09-01,-1.73851470919788,0.025
"Fairview",2010-09-01,1.45083811008392,0.125
"Mount Pleasant",2010-09-01,1.58661310514318,0.165
"Renfrew-Collingwood",2010-09-01,0.572313137449857,0.385
"West End",2010-09-01,3.30115602792721,0.07
"Downtown",2010-10-01,4.44872209392105,0.015
"Hastings-Sunrise",2010-10-01,0.563264865033904,0.27
"Kerrisdale",2010-10-01,-2.60351653878575,0.005
"Marpole",2010-10-01,-1.55656193431228,0.09
"Oakridge",2010-10-01,-1.87780859893962,0.07
"Riley Park",2010-10-01,-0.0196900460153716,0.485
"South Cambie",2010-10-01,-0.766873422421373,0.415
"Shaughnessy",2010-10-01,-1.92340660023838,0.11
"Victoria-Fraserview",2010-10-01,-0.511543681862812,0.43
"Arbutus Ridge",2010-10-01,-2.13684220716873,0.025
"Grandview-Woodland",2010-10-01,0.978313299667609,0.185
"Kensington-Cedar Cottage",2010-10-01,0.364508873654518,0.29
"Killarney",2010-10-01,-0.54544170846243,0.47
"Kitsilano",2010-10-01,0.710259988859501,0.18
"Strathcona",2010-10-01,2.89245727419205,0.01
"Sunset",2010-10-01,-0.778646775731401,0.29
"West Point Grey",2010-10-01,-1.38428452550536,0.225
"Dunbar-Southlands",2010-10-01,-1.98908779577728,0.01
"Fairview",2010-10-01,2.0486514025562,0.06
"Mount Pleasant",2010-10-01,2.38324925598038,0.035
"Renfrew-Collingwood",2010-10-01,-0.105219050536334,0.455
"West End",2010-10-01,3.08873753339077,0.025
"Downtown",2010-11-01,4.34512797778136,0.015
"Hastings-Sunrise",2010-11-01,0.5304166911995,0.135
"Kerrisdale",2010-11-01,-2.24168313098329,0.015
"Marpole",2010-11-01,-1.76265110044899,0.05
"Oakridge",2010-11-01,-2.43617982593148,0.015
"Riley Park",2010-11-01,-0.0538084997444834,0.325
"South Cambie",2010-11-01,-0.866246936577675,0.435
"Shaughnessy",2010-11-01,-1.53354224271777,0.2
"Victoria-Fraserview",2010-11-01,-0.682907912836419,0.365
"Arbutus Ridge",2010-11-01,-1.48205547041095,0.225
"Grandview-Woodland",2010-11-01,0.803506544252211,0.28
"Kensington-Cedar Cottage",2010-11-01,0.411298375606541,0.5
"Killarney",2010-11-01,-0.827142953969196,0.465
"Kitsilano",2010-11-01,1.56951460131456,0.09
"Strathcona",2010-11-01,2.19501405106285,0.02
